Feature,Coefficient,Abs_Coefficient
sofa_total,0.8901247350599222,0.8901247350599222
charlson_comorbidity_index,0.4612873009773306,0.4612873009773306
infection_source_other,-0.36697895657808416,0.36697895657808416
albumin_min_missing,-0.35279922054881024,0.35279922054881024
age,0.35024486791664555,0.35024486791664555
sofa_age_interaction,-0.3005745816715983,0.3005745816715983
infection_source_respiratory,0.2904556217376595,0.2904556217376595
aniongap_max,0.23169986776813825,0.23169986776813825
pressor_used_24h,-0.23002661088411056,0.23002661088411056
lactate_max_24h,0.22743112995191556,0.22743112995191556
infection_source_blood,0.19385315205041365,0.19385315205041365
creatinine_max,-0.19090079471291244,0.19090079471291244
heart_rate_mean,0.18573966153288718,0.18573966153288718
lactate_max_24h_bin,-0.17432201951533732,0.17432201951533732
urine_output_24h,-0.15208130321743832,0.15208130321743832
platelets_min,0.13409341680065817,0.13409341680065817
mbp_mean,0.1183383522019058,0.1183383522019058
rrt_present,-0.11366504063212281,0.11366504063212281
sbp_mean,-0.10671719713992076,0.10671719713992076
inr_max,0.10503609365261551,0.10503609365261551
age_bin,0.09829264684362125,0.09829264684362125
albumin_min,-0.06877699462392431,0.06877699462392431
sodium_min,0.0449185662093958,0.0449185662093958
lactate_max_24h_missing,0.03647508829071935,0.03647508829071935
infection_source_urine,0.02213629907789458,0.02213629907789458
wbc_max,-0.0008079821993818813,0.0008079821993818813
sofa_lactate_interaction,-5.671528141732709e-05,5.671528141732709e-05
