Var1_Quantile,Var2_Quantile,Mortality_Rate,N
Q1,Q1,0.05970898143502258,1993
Q1,Q2,0.10420475319926874,1094
Q1,Q3,0.1787037037037037,1080
Q1,Q4,0.3830678960603521,1193
Q2,Q1,0.09490238611713665,1844
Q2,Q2,0.14334470989761092,1172
Q2,Q3,0.2332214765100671,1192
Q2,Q4,0.3927911275415896,1082
Q3,Q1,0.1415041782729805,1795
Q3,Q2,0.18990825688073396,1090
Q3,Q3,0.2935153583617747,1172
Q3,Q4,0.4539249146757679,879
Q4,Q1,0.21712907117008443,1658
Q4,Q2,0.27504244482173174,1178
Q4,Q3,0.37608318890814557,1154
Q4,Q4,0.554601226993865,815
