Var1_Quantile,Var2_Quantile,Mortality_Rate,N
Q1,Q1,0.13751317175974712,1898
Q1,Q2,0.12308812818645302,4119
Q1,Q3,0.09683098591549295,568
Q1,Q4,0.12056737588652482,705
Q2,Q1,0.19330855018587362,1345
Q2,Q2,0.18588362068965517,1856
Q2,Q3,0.13454545454545455,550
Q2,Q4,0.17113665389527458,783
Q3,Q1,0.25140056022408963,1428
Q3,Q2,0.299079754601227,1304
Q3,Q3,0.21043478260869566,575
Q3,Q4,0.2935708752904725,1291
Q4,Q1,0.33033419023136246,778
Q4,Q2,0.38345864661654133,665
Q4,Q3,0.43946188340807174,446
Q4,Q4,0.49278846153846156,2080
