Variable,Quantile,Mean_Value,Mortality_Rate,CI_Lower_95,CI_Upper_95,N
sofa_total,"(-1.2429999999999999, -0.963]",-1.1034159955384513,0.10956301456618113,0.10098253468902633,0.11877625244277745,4737
sofa_total,"(-0.963, -0.685]",-0.6845784967543506,0.15236976106541325,0.13895209821861582,0.16683203795939383,2553
sofa_total,"(-0.685, -0.406]",-0.4061176922995738,0.1661251015434606,0.1519453797902169,0.18134512840787664,2462
sofa_total,"(-0.406, -0.128]",-0.12765688784479678,0.19498069498069498,0.17849235952461345,0.2125979818578889,2072
sofa_total,"(-0.128, 0.151]",0.15080391660997997,0.2340057636887608,0.21468479148679487,0.254502051064016,1735
sofa_total,"(0.151, 0.429]",0.429264721064757,0.2816377171215881,0.2602189430377776,0.3040947867238525,1612
sofa_total,"(0.429, 0.708]",0.7077255255195338,0.31095123900879296,0.285912092693477,0.3371479014922433,1251
sofa_total,"(0.708, 1.543]",1.2228453561215684,0.36630179827990617,0.347844255607475,0.38516031423009806,2558
sofa_total,"(1.543, 4.606]",2.3188906619963583,0.5641389085754784,0.5381255552508941,0.5898039599683361,1411
lactate_max_24h,"(-1.7289999999999999, -1.114]",-1.361994723261757,0.19420415224913495,0.1785916578534424,0.21083117659257494,2312
lactate_max_24h,"(-1.114, -0.716]",-0.8579387215776022,0.2265296590378328,0.20929763017400507,0.2447413067805934,2141
lactate_max_24h,"(-0.716, -0.376]",-0.5004677054394284,0.20040795512493625,0.18328358134017408,0.21870383586434763,1961
lactate_max_24h,"(-0.376, -0.149]",-0.1611903236257285,0.18727611405645508,0.178295875898197,0.19660044138329483,6979
lactate_max_24h,"(-0.149, 0.0584]",-0.01217406078531867,0.1917808219178082,0.16881484973122926,0.21705524951216268,1022
lactate_max_24h,"(0.0584, 0.536]",0.31811655581490883,0.22391084093211752,0.2060673859490758,0.24282680254407757,1974
lactate_max_24h,"(0.536, 1.353]",0.9127900531841118,0.25974683544303795,0.24088723185624908,0.27953926413008945,1975
lactate_max_24h,"(1.353, 3.625]",2.30580290869998,0.45288603848051306,0.4313253007272387,0.47462502055828143,2027
age,"(-2.972, -1.396]",-2.0153240555553618,0.13147792706333974,0.11764495334057731,0.1466670519379841,2084
age,"(-1.396, -0.766]",-1.004183165216998,0.17490671641791045,0.15941158304385303,0.19156476456017882,2144
age,"(-0.766, -0.452]",-0.5720774940426017,0.19349845201238391,0.17652359417124475,0.21168603116585794,1938
age,"(-0.452, -0.137]",-0.2609169287048976,0.1957092819614711,0.17995464189266802,0.21248581377524192,2284
age,"(-0.137, 0.115]",0.022981741725984023,0.2081818181818182,0.19173168374502744,0.22564931133193272,2200
age,"(0.115, 0.367]",0.27331109714331225,0.22938018545632016,0.21169192099498377,0.24808130261856737,2049
age,"(0.367, 0.619]",0.5269025902922239,0.24759005580923388,0.22903837486158304,0.2671237477106779,1971
age,"(0.619, 0.871]",0.7756976471264584,0.2715565509518477,0.2514358342120017,0.2926579001162205,1786
age,"(0.871, 1.249]",1.0830441946893283,0.30726770929162833,0.28822780556085104,0.32698755261763174,2174
age,"(1.249, 2.131]",1.5153271631385177,0.37649063032367974,0.35415302130563886,0.399365934729849,1761
creatinine_max,"(-4.164000000000001, -0.873]",-1.381631961704823,0.159297052154195,0.14759268898851374,0.17174258357863648,3528
creatinine_max,"(-0.873, -0.632]",-0.6319238619076886,0.1292798110979929,0.11413735033349193,0.1460998826333525,1694
creatinine_max,"(-0.632, -0.419]",-0.4185862895133097,0.12826603325415678,0.11313685359545225,0.14508737787271397,1684
creatinine_max,"(-0.419, -0.243]",-0.24283703585022637,0.1477900552486188,0.1304427941161589,0.1670012245701772,1448
creatinine_max,"(-0.243, 0.0273]",-0.03949145565248388,0.19239904988123516,0.1774984071414235,0.2082338853467702,2526
creatinine_max,"(0.0273, 0.221]",0.1745418756089612,0.20614294152392204,0.1875485011053074,0.22606794959934295,1693
creatinine_max,"(0.221, 0.47]",0.37692649907756187,0.2943566591422122,0.2757456846395374,0.3136797164346088,2215
creatinine_max,"(0.47, 0.68]",0.5965866550962746,0.3305785123966942,0.3077682966350384,0.3542142385796592,1573
creatinine_max,"(0.68, 1.043]",0.8671431789615294,0.38988818667963054,0.3690348619958876,0.41115202864141326,2057
creatinine_max,"(1.043, 4.187]",1.6465400004778907,0.34617334009123163,0.325497735379673,0.36744680807793134,1973
urine_output_24h,"(-1.452, -1.132]",-1.3108435260042255,0.48130160271976685,0.45977438661787695,0.5028984623299045,2059
urine_output_24h,"(-1.132, -0.823]",-0.9672130233674513,0.3435340572556762,0.32316873780004957,0.3644916195401488,2026
urine_output_24h,"(-0.823, -0.584]",-0.6975345693384629,0.276657060518732,0.25786588911485203,0.2962709159042827,2082
urine_output_24h,"(-0.584, -0.361]",-0.46996362089292804,0.22604790419161677,0.20826886648399853,0.24487524607946273,2004
urine_output_24h,"(-0.361, -0.177]",-0.23682163302003192,0.2413793103448276,0.22480163663764835,0.25877139531655724,2436
urine_output_24h,"(-0.177, 0.02]",-0.07844271283676274,0.1588957055214724,0.1419527274990928,0.17744273898921303,1630
urine_output_24h,"(0.02, 0.311]",0.15878449880360462,0.15120274914089346,0.13630250758457196,0.1674161151640039,2037
urine_output_24h,"(0.311, 0.694]",0.4930066320273962,0.12996566944580676,0.11606279265454471,0.1452602585306279,2039
urine_output_24h,"(0.694, 1.331]",0.9734058945352106,0.13879352623835214,0.1244648015212605,0.15448076136525993,2039
urine_output_24h,"(1.331, 3.581]",2.1794872139548254,0.1392839627268269,0.12493219186419767,0.1549923994501754,2039
