Variable,OR_per_IQR,OR_CI_Lower_95,OR_CI_Upper_95,P_value,AUC,PR_AUC,N,Q_value,Significant
sofa_age_interaction,2.8331493732340536,2.7034095992230442,2.9691155100445688,0.0,0.7108398821132864,0.43835915612668874,20391,0.0,True
sofa_total,2.5566247726279614,2.4411750866950386,2.6775343823716162,0.0,0.6862187835555397,0.4014872498749585,20391,0.0,True
sofa_lactate_interaction,1.8183198420368385,1.7624685646563265,1.8759410035716493,8.47410297972545e-309,0.679162171812387,0.4186568683882737,20391,7.626692681752904e-308,True
charlson_comorbidity_index,2.240776081922254,2.140485724237995,2.3457654458790347,2.38969250838864e-261,0.6675610157154455,0.3559821558396379,20391,1.6130424431623321e-260,True
aniongap_max,1.9357464746824478,1.8540761822273666,2.0210142658453143,3.833476689320778e-198,0.6454118588577625,0.3498764693527808,20391,2.07007741223322e-197,True
creatinine_max,1.471089582416402,1.4108401619717938,1.5339119326384258,3.713182138949447e-73,0.632730223192353,0.30919946441813284,20391,6.683727850109005e-73,True
inr_max,1.3420371414011891,1.3108459034115236,1.3739705668018967,9.177661596460778e-133,0.6154377927528545,0.32909171356991623,20391,3.5399551872063e-132,True
age,1.6572980806115365,1.5805379796629786,1.7377860977338577,8.31222356955946e-97,0.6020982137000014,0.30516819331372913,20391,1.7263848952161958e-96,True
age_bin,1.4503381317832391,1.400101102310255,1.5023777161760823,6.288063415025214e-95,0.5953793666047787,0.2822995001196966,20391,1.2126979443262912e-94,True
pressor_used_24h,2.2060821804862387,2.06225522976566,2.359939990362854,4.4363055748434296e-117,0.5896147939248688,0.2765469468462146,20391,1.197802505207726e-116,True
infection_source_blood,2.10551224578332,1.9682666762444787,2.252327832731581,6.11813976104527e-104,0.5843429926301558,0.2730048389859342,20391,1.5017252140747483e-103,True
lactate_max_24h,1.385499429862282,1.3496292045885028,1.422323008143552,4.1957106965595213e-131,0.5772708890231729,0.3437920502222089,20391,1.4160523600888386e-130,True
heart_rate_mean,1.402237809791226,1.3421972404593103,1.4649641766028527,8.650335940150895e-52,0.5701813350446399,0.28938307867261465,20391,1.2292582651793377e-51,True
lactate_max_24h_bin,1.6114033789552913,1.5203220954136465,1.7079412695123968,4.0223112728215775e-58,0.5657807376198186,0.27503358472672945,20391,6.787650272886413e-58,True
wbc_max,1.1666241702981681,1.1238450666511333,1.211031658286736,6.194470007121699e-16,0.5502948441884448,0.2790313515092947,20391,7.271769138795038e-16,True
rrt_present,2.2081939540983795,1.9885133927045078,2.4521436751727355,1.138193295735246e-49,0.5344486598819441,0.2507886282016619,20391,1.5365609492425823e-49,True
infection_source_urine,1.1319880649355176,1.0259584230976173,1.2489755435581973,0.013485480059369174,0.5066439426460028,0.23320204043085327,20391,0.013485480059369174,True
infection_source_respiratory,1.5200052004323847,1.2677692491663537,1.8224261322482405,6.105921607074179e-06,0.5062071344329457,0.2336044978250051,20391,6.869161807958452e-06,True
sodium_min,0.9386503962570112,0.9049333110589393,0.9736237528513958,0.0006935684057974233,0.48249714857540454,0.25214207271090133,20391,0.0007202441137127088,True
platelets_min,0.9354178304483607,0.9009280641097397,0.9712279507968973,0.0004957252967368758,0.470712631428744,0.22955447310996602,20391,0.0005353833204758258,True
lactate_max_24h_missing,0.673500443630579,0.6240207967606994,0.7269034139971703,3.2201767626065432e-24,0.4617403890536957,0.21986452466854994,20391,3.9520351177443944e-24,True
albumin_min,0.7696002412283312,0.7443554134120375,0.7957012478538217,1.9218274038626556e-53,0.4390497081999696,0.21103974710125675,20391,2.8827411057939838e-53,True
mbp_mean,0.7411564813017953,0.7108659999490936,0.7727376605647137,5.83880685903227e-45,0.4288238514633049,0.20278335640459544,20391,7.507037390184348e-45,True
sbp_mean,0.7064254012481274,0.6762300910245516,0.7379690051539861,8.142266486183414e-55,0.4184562028338482,0.19999199182612143,20391,1.2931835007467775e-54,True
albumin_min_missing,0.48326338464568347,0.4521375369328292,0.5165319838814835,1.1156761474067433e-101,0.41024199782208526,0.20711776295526368,20391,2.5102713316651726e-101,True
infection_source_other,0.4547571676648529,0.42545053796805427,0.48608254799782963,6.521258935925602e-119,0.4028059302908958,0.20567911998013483,20391,1.9563776807776805e-118,True
urine_output_24h,0.5119359769106817,0.4875363774438528,0.5375566964450285,4.616205183154598e-159,0.3427843099921139,0.17505408996141872,20391,2.0772923324195693e-158,True
