Feature,SHAP_Importance
sofa_age_interaction,0.4764700417735706
charlson_comorbidity_index,0.3261689525272893
urine_output_24h,0.27657687690088745
aniongap_max,0.1712358613518932
age,0.13383849444114293
sodium_min,0.11107937567742272
platelets_min,0.10711083991076692
heart_rate_mean,0.10593514821338906
charlson_comorbidity_index_qt,0.10184207939564838
inr_max,0.09885284623530081
sofa_total,0.09433960254086604
albumin_min_missing,0.09057079060775156
albumin_min,0.07957150253914153
lactate_max_24h,0.07577253179811134
sbp_mean_qt,0.07227201397901548
heart_rate_mean_qt,0.07031908595126776
wbc_max,0.0699578351146817
sbp_mean,0.0649449389902394
shock_index,0.06330413312617814
albumin_min_qt,0.061273107178399205
lactate_map_ratio,0.060375165169294344
mbp_mean_qt,0.06028707881359485
sofa_lactate_interaction,0.05993783575233203
creatinine_max,0.05670432395826281
mbp_mean,0.05388107428873904
aniongap_max_qt,0.03677573597087165
age_qt,0.033768323794724144
creatinine_max_log1p,0.025503103378462903
wbc_max_log1p,0.024185738234570653
pressor_used_24h,0.02381597972301929
rrt_present,0.022264576634474537
platelets_min_log1p,0.021040584710126712
urine_output_24h_yj,0.02060718227069974
sodium_min_qt,0.01576704460594819
aki_grade,0.011533038462326808
lactate_max_24h_log1p,0.011282997388052692
sofa_total_qt,0.007670537000892958
inr_max_log1p,0.00644197260450548
aniongap_max_missing,0.0017911528883664508
lactate_max_24h_missing,0.0016188854941452397
urine_output_24h_missing,0.0005401609305299096
inr_max_missing,0.00038670351198886874
