Model,Threshold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1,Specificity,NPV,Alert_Rate
Logistic Regression,0.2,671,615,1738,35,0.4203988231448186,0.2785388127853881,0.9504249291784702,0.43081861958266454,0.26136846578835526,0.9461538461538461,0.7875122589081399
Logistic Regression,0.21000000000000002,669,678,1675,37,0.44033998038574695,0.2854095563139932,0.9475920679886686,0.43868852459016394,0.2881427964300892,0.9482517482517483,0.7662634847989539
Logistic Regression,0.22000000000000003,666,724,1629,40,0.45439686171951615,0.2901960784313726,0.943342776203966,0.44385204931689437,0.3076923076923077,0.9476439790575916,0.7502451781627983
Logistic Regression,0.23000000000000004,662,782,1571,44,0.4720496894409938,0.29646215853112406,0.9376770538243626,0.45049336509016674,0.3323416914577136,0.9467312348668281,0.7299771167048055
Logistic Regression,0.24000000000000005,660,821,1532,46,0.4841451454723766,0.3010948905109489,0.9348441926345609,0.4554865424430642,0.34891627709307266,0.9469434832756632,0.7165740438051651
Logistic Regression,0.25000000000000006,653,863,1490,53,0.4955867930696306,0.30471301913205784,0.9249291784702549,0.4584064584064584,0.36676583085422865,0.9421397379912664,0.7005557371690094
Logistic Regression,0.26000000000000006,652,905,1448,54,0.508989865969271,0.31047619047619046,0.9235127478753541,0.4647184604419102,0.38461538461538464,0.9436913451511991,0.6864988558352403
Logistic Regression,0.2700000000000001,650,946,1407,56,0.5217391304347826,0.3159941662615459,0.9206798866855525,0.47050307636626854,0.402039949001275,0.9441117764471058,0.672441974501471
Logistic Regression,0.2800000000000001,648,991,1362,58,0.5357960117685518,0.32238805970149254,0.9178470254957507,0.47717231222385864,0.4211644708882278,0.9447092469018112,0.6570774762994442
Logistic Regression,0.2900000000000001,643,1031,1322,63,0.5472376593658058,0.3272264631043257,0.9107648725212465,0.4814676151254212,0.43816404589885255,0.9424131627056673,0.6423667865315462
Logistic Regression,0.3000000000000001,638,1059,1294,68,0.5547564563582871,0.3302277432712215,0.9036827195467422,0.4836997725549659,0.4500637484062898,0.9396628216503993,0.631578947368421
Logistic Regression,0.3100000000000001,631,1096,1257,75,0.564563582870219,0.3342161016949153,0.8937677053824362,0.4865073245952197,0.46578835529111773,0.9359521776259607,0.6171951618175875
Logistic Regression,0.3200000000000001,624,1123,1230,82,0.571101667211507,0.3365695792880259,0.8838526912181303,0.4875,0.4772630684232894,0.9319502074688797,0.6060804184373978
Logistic Regression,0.3300000000000001,618,1162,1191,88,0.5818895063746322,0.3416252072968491,0.8753541076487252,0.4914512922465209,0.49383765405864855,0.9296,0.5913697286694999
Logistic Regression,0.34000000000000014,614,1182,1171,92,0.5871199738476627,0.34397759103641457,0.8696883852691218,0.492974708952228,0.5023374415639609,0.9277864992150706,0.5835240274599542
Logistic Regression,0.35000000000000014,611,1227,1126,95,0.6008499509643674,0.3517559009786989,0.8654390934844193,0.5002046663937781,0.5214619634509138,0.9281391830559758,0.5678326250408631
Logistic Regression,0.36000000000000015,602,1256,1097,104,0.6073880353056554,0.3543260741612713,0.8526912181303116,0.5006237006237007,0.5337866553336167,0.9235294117647059,0.5554102647924158
Logistic Regression,0.37000000000000016,601,1301,1052,105,0.6217718208564891,0.36358136721113127,0.8512747875354107,0.5095379398050022,0.5529111772205695,0.9253200568990043,0.5403726708074534
Logistic Regression,0.38000000000000017,597,1338,1015,109,0.6325596600196143,0.37034739454094295,0.8456090651558074,0.5150992234685073,0.5686357841053974,0.9246717346233587,0.5269695979078131
Logistic Regression,0.3900000000000002,588,1381,972,118,0.6436744033998039,0.3769230769230769,0.8328611898016998,0.5189761694616064,0.5869103272418189,0.9212808539026017,0.5099705786204642
Logistic Regression,0.4000000000000002,584,1411,942,122,0.6521739130434783,0.382699868938401,0.8271954674220963,0.5232974910394266,0.5996600084997875,0.9204174820613177,0.4988558352402746
Logistic Regression,0.4100000000000002,577,1449,904,129,0.6623079437724747,0.3896016205266712,0.8172804532577904,0.5276634659350709,0.615809604759881,0.9182509505703422,0.4841451454723766
Logistic Regression,0.4200000000000002,569,1479,874,137,0.6694998365478915,0.3943173943173943,0.8059490084985835,0.5295486272684969,0.6285592860178496,0.9152227722772277,0.4717227852239294
Logistic Regression,0.4300000000000002,561,1512,841,145,0.6776724419745015,0.40014265335235377,0.7946175637393768,0.532258064516129,0.642583935401615,0.9124924562462281,0.458319712324289
Logistic Regression,0.4400000000000002,556,1545,808,150,0.6868257600523047,0.40762463343108507,0.7875354107648725,0.5371980676328503,0.6566085847853803,0.911504424778761,0.4458973520758418
Logistic Regression,0.45000000000000023,544,1569,784,162,0.6907486106570775,0.40963855421686746,0.7705382436260623,0.5349065880039331,0.6668083297917552,0.9064124783362218,0.4341288002615234
Logistic Regression,0.46000000000000024,537,1599,754,169,0.6982674076495586,0.4159566227730441,0.7606232294617564,0.5378067100650976,0.6795580110497238,0.9044117647058824,0.42203334423014055
Logistic Regression,0.47000000000000025,524,1626,727,182,0.7028440666884603,0.41886490807354115,0.7422096317280453,0.5355135411343894,0.6910327241818954,0.8993362831858407,0.40895717554756456
Logistic Regression,0.48000000000000026,512,1650,703,194,0.706766917293233,0.4213991769547325,0.7252124645892352,0.5330557001561687,0.7012324691882703,0.8947939262472885,0.39718862373324615
Logistic Regression,0.49000000000000027,507,1681,672,199,0.7152664269369075,0.4300254452926209,0.7181303116147308,0.5379310344827586,0.7144071398215045,0.8941489361702127,0.38542007191892774
