variable,type,unit,time_window,clinical_range,notes
age,continuous,To be confirmed,ICU admission 0-24h,To be confirmed,
mbp_mean,continuous,To be confirmed,ICU admission 0-24h,To be confirmed,
sbp_mean,continuous,To be confirmed,ICU admission 0-24h,To be confirmed,
heart_rate_mean,continuous,To be confirmed,ICU admission 0-24h,To be confirmed,
wbc_max,continuous,To be confirmed,ICU admission 0-24h,To be confirmed,
lactate_max_24h,continuous,To be confirmed,ICU admission 0-24h,To be confirmed,
sodium_min,continuous,To be confirmed,ICU admission 0-24h,To be confirmed,
sodium_max,continuous,To be confirmed,ICU admission 0-24h,To be confirmed,
platelets_min,continuous,To be confirmed,ICU admission 0-24h,To be confirmed,
platelets_max,continuous,To be confirmed,ICU admission 0-24h,To be confirmed,
creatinine_max,continuous,To be confirmed,ICU admission 0-24h,To be confirmed,
urine_output_24h,continuous,To be confirmed,ICU admission 0-24h,To be confirmed,
albumin_min,continuous,To be confirmed,ICU admission 0-24h,To be confirmed,
charlson_comorbidity_index,continuous,To be confirmed,ICU admission 0-24h,To be confirmed,
sofa_total,continuous,To be confirmed,ICU admission 0-24h,To be confirmed,
inr_max,continuous,To be confirmed,ICU admission 0-24h,To be confirmed,
aniongap_max,continuous,To be confirmed,ICU admission 0-24h,To be confirmed,
pressor_used_24h,binary,,ICU admission 0-24h,0/1,
rrt_present,binary,,ICU admission 0-24h,0/1,
mortality_30d,binary,,30-day outcome,0/1,
infection_source_category,categorical,,ICU admission 0-24h,,
